Minute,BTC Price,Total Borrowed,Total Liquidity,Utilization %,Borrow APR,Agent Debt,BTC Collateral,Collateral USD,Effective Collateral,Health Factor,Yield Token Value,YT Swapped,MOET Received,Agent Risk Profile,Initial Health Factor,Target Health Factor
0,"$100,000.00",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$100000.00,$80000.00,2.230977,$35858.00,$-,$-,conservative,2.230977,2.145981
1,"$99,567.14",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$99567.14,$79653.71,2.221319,$35858.01,$-,$-,conservative,2.230977,2.145981
2,"$99,186.71",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$99186.71,$79349.37,2.212832,$35858.01,$-,$-,conservative,2.230977,2.145981
3,"$98,775.73",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$98775.73,$79020.58,2.203663,$35858.02,$-,$-,conservative,2.230977,2.145981
4,"$98,260.74",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$98260.74,$78608.59,2.192174,$35858.03,$-,$-,conservative,2.230977,2.145981
5,"$97,856.00",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$97856.00,$78284.80,2.183144,$35858.03,$-,$-,conservative,2.230977,2.145981
6,"$97,331.71",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$97331.71,$77865.37,2.171448,$35858.04,$-,$-,conservative,2.230977,2.145981
7,"$96,407.06",$0,"$14,250,040.13",0.00%,0.02,$35858.74,1.000000,$96407.06,$77125.65,2.150819,$35858.05,$-,$-,conservative,2.230977,2.145981
8,"$96,021.72",$0,"$14,250,040.13",0.00%,0.02,$34432.18,1.000000,$96021.72,$76817.37,2.230977,$34430.05,$1426.56,$1426.56,conservative,2.230977,2.145981
9,"$95,458.47",$0,"$14,250,040.13",0.00%,0.02,$34432.18,1.000000,$95458.47,$76366.78,2.217890,$34430.06,$-,$-,conservative,2.230977,2.145981
10,"$94,551.62",$0,"$14,250,040.13",0.00%,0.02,$34432.18,1.000000,$94551.62,$75641.29,2.196820,$34430.07,$-,$-,conservative,2.230977,2.145981
11,"$94,148.99",$0,"$14,250,040.13",0.00%,0.02,$34432.18,1.000000,$94148.99,$75319.19,2.187465,$34430.07,$-,$-,conservative,2.230977,2.145981
12,"$93,762.18",$0,"$14,250,040.13",0.00%,0.02,$34432.18,1.000000,$93762.18,$75009.74,2.178478,$34430.08,$-,$-,conservative,2.230977,2.145981
13,"$92,871.44",$0,"$14,250,040.13",0.00%,0.02,$34432.18,1.000000,$92871.44,$74297.15,2.157783,$34430.09,$-,$-,conservative,2.230977,2.145981
14,"$92,459.98",$0,"$14,250,040.13",0.00%,0.02,$34432.18,1.000000,$92459.98,$73967.99,2.148223,$34430.09,$-,$-,conservative,2.230977,2.145981
15,"$92,067.83",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$92067.83,$73654.27,2.230977,$33010.09,$1417.81,$1417.81,conservative,2.230977,2.145981
16,"$91,713.12",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$91713.12,$73370.50,2.222381,$33010.10,$-,$-,conservative,2.230977,2.145981
17,"$91,333.47",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$91333.47,$73066.78,2.213181,$33010.11,$-,$-,conservative,2.230977,2.145981
18,"$90,952.72",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$90952.72,$72762.17,2.203955,$33010.11,$-,$-,conservative,2.230977,2.145981
19,"$90,559.65",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$90559.65,$72447.72,2.194430,$33010.12,$-,$-,conservative,2.230977,2.145981
20,"$90,055.64",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$90055.64,$72044.51,2.182217,$33010.13,$-,$-,conservative,2.230977,2.145981
21,"$89,563.94",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$89563.94,$71651.15,2.170303,$33010.13,$-,$-,conservative,2.230977,2.145981
22,"$89,215.73",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$89215.73,$71372.58,2.161865,$33010.14,$-,$-,conservative,2.230977,2.145981
23,"$88,777.38",$0,"$14,250,040.13",0.00%,0.02,$33014.36,1.000000,$88777.38,$71021.90,2.151243,$33010.14,$-,$-,conservative,2.230977,2.145981
24,"$88,312.81",$0,"$14,250,040.13",0.00%,0.02,$31667.86,1.000000,$88312.81,$70650.25,2.230977,$31662.14,$1346.50,$1346.50,conservative,2.230977,2.145981
25,"$87,875.67",$0,"$14,250,040.13",0.00%,0.02,$31667.86,1.000000,$87875.67,$70300.54,2.219933,$31662.15,$-,$-,conservative,2.230977,2.145981
26,"$87,382.51",$0,"$14,250,040.13",0.00%,0.02,$31667.86,1.000000,$87382.51,$69906.01,2.207475,$31662.16,$-,$-,conservative,2.230977,2.145981
27,"$86,552.38",$0,"$14,250,040.13",0.00%,0.02,$31667.86,1.000000,$86552.38,$69241.90,2.186504,$31662.16,$-,$-,conservative,2.230977,2.145981
28,"$86,124.71",$0,"$14,250,040.13",0.00%,0.02,$31667.86,1.000000,$86124.71,$68899.77,2.175700,$31662.17,$-,$-,conservative,2.230977,2.145981
29,"$85,703.61",$0,"$14,250,040.13",0.00%,0.02,$31667.86,1.000000,$85703.61,$68562.89,2.165062,$31662.17,$-,$-,conservative,2.230977,2.145981
30,"$85,222.33",$0,"$14,250,040.13",0.00%,0.02,$31667.86,1.000000,$85222.33,$68177.87,2.152904,$31662.18,$-,$-,conservative,2.230977,2.145981
31,"$84,819.54",$0,"$14,250,040.13",0.00%,0.02,$30415.22,1.000000,$84819.54,$67855.63,2.230977,$30408.18,$1252.64,$1252.64,conservative,2.230977,2.145981
32,"$84,428.17",$0,"$14,250,040.13",0.00%,0.02,$30415.22,1.000000,$84428.17,$67542.54,2.220682,$30408.19,$-,$-,conservative,2.230977,2.145981
33,"$84,007.10",$0,"$14,250,040.13",0.00%,0.02,$30415.22,1.000000,$84007.10,$67205.68,2.209607,$30408.19,$-,$-,conservative,2.230977,2.145981
34,"$83,516.62",$0,"$14,250,040.13",0.00%,0.02,$30415.22,1.000000,$83516.62,$66813.29,2.196706,$30408.20,$-,$-,conservative,2.230977,2.145981
35,"$82,723.21",$0,"$14,250,040.13",0.00%,0.02,$30415.22,1.000000,$82723.21,$66178.57,2.175837,$30408.20,$-,$-,conservative,2.230977,2.145981
36,"$82,363.90",$0,"$14,250,040.13",0.00%,0.02,$30415.22,1.000000,$82363.90,$65891.12,2.166387,$30408.21,$-,$-,conservative,2.230977,2.145981
37,"$81,960.14",$0,"$14,250,040.13",0.00%,0.02,$30415.22,1.000000,$81960.14,$65568.11,2.155767,$30408.21,$-,$-,conservative,2.230977,2.145981
38,"$81,546.62",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$81546.62,$65237.30,2.230977,$29233.21,$1173.63,$1173.63,conservative,2.230977,2.145981
39,"$81,191.99",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$81191.99,$64953.59,2.221274,$29233.22,$-,$-,conservative,2.230977,2.145981
40,"$80,792.26",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$80792.26,$64633.81,2.210338,$29233.22,$-,$-,conservative,2.230977,2.145981
41,"$80,368.71",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$80368.71,$64294.96,2.198751,$29233.23,$-,$-,conservative,2.230977,2.145981
42,"$80,049.62",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$80049.62,$64039.70,2.190021,$29233.23,$-,$-,conservative,2.230977,2.145981
43,"$79,702.47",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$79702.47,$63761.97,2.180524,$29233.24,$-,$-,conservative,2.230977,2.145981
44,"$79,416.92",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$79416.92,$63533.54,2.172712,$29233.24,$-,$-,conservative,2.230977,2.145981
45,"$78,662.46",$0,"$14,250,040.13",0.00%,0.02,$29241.59,1.000000,$78662.46,$62929.97,2.152071,$29233.25,$-,$-,conservative,2.230977,2.145981
46,"$77,915.17",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$77915.17,$62332.13,2.230977,$27929.24,$1302.19,$1302.19,conservative,2.230977,2.145981
47,"$77,581.51",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$77581.51,$62065.21,2.221423,$27929.25,$-,$-,conservative,2.230977,2.145981
48,"$77,229.81",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$77229.81,$61783.85,2.211353,$27929.26,$-,$-,conservative,2.230977,2.145981
49,"$77,124.18",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$77124.18,$61699.34,2.208328,$27929.26,$-,$-,conservative,2.230977,2.145981
50,"$77,004.91",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$77004.91,$61603.92,2.204913,$27929.27,$-,$-,conservative,2.230977,2.145981
51,"$76,902.22",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76902.22,$61521.78,2.201972,$27929.27,$-,$-,conservative,2.230977,2.145981
52,"$76,819.72",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76819.72,$61455.77,2.199610,$27929.28,$-,$-,conservative,2.230977,2.145981
53,"$76,721.65",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76721.65,$61377.32,2.196802,$27929.28,$-,$-,conservative,2.230977,2.145981
54,"$76,682.67",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76682.67,$61346.14,2.195686,$27929.29,$-,$-,conservative,2.230977,2.145981
55,"$76,606.03",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76606.03,$61284.82,2.193491,$27929.29,$-,$-,conservative,2.230977,2.145981
56,"$76,620.54",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76620.54,$61296.43,2.193907,$27929.30,$-,$-,conservative,2.230977,2.145981
57,"$76,658.93",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76658.93,$61327.15,2.195006,$27929.30,$-,$-,conservative,2.230977,2.145981
58,"$76,834.57",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$76834.57,$61467.65,2.200035,$27929.31,$-,$-,conservative,2.230977,2.145981
59,"$77,351.31",$0,"$14,250,040.13",0.00%,0.02,$27939.40,1.000000,$77351.31,$61881.05,2.214831,$27929.31,$-,$-,conservative,2.230977,2.145981
