Agent ID,Risk Profile,Collateral Deposited (BTC),Effective Collateral ($),Initial Borrowed MOET ($),Final Debt w/ Interest ($),Total Interest Accrued ($),Initial Health Factor,Target Health Factor,Final Health Factor,Initial Yield Tokens ($),Yield Tokens Sold ($),Final Collateral Value ($),Final Yield Token Value ($),Net Position Value ($),Cost of Rebalancing ($),Survival Status,Rebalancing Events,Emergency Liquidations
high_tide_conservative_11,Conservative,1.0,"$80,000","$33,866","$25,839",$0,2.36,2.29,2.49,"$33,866","$4,674","$80,360","$29,185","$99,986",$14,✅ Survived,5,0
high_tide_conservative_7,Conservative,1.0,"$80,000","$34,190","$26,562",$0,2.34,2.23,2.42,"$34,190","$4,694","$80,360","$29,491","$99,986",$14,✅ Survived,3,0
high_tide_conservative_9,Conservative,1.0,"$80,000","$33,834","$27,036",$0,2.36,2.24,2.38,"$33,834","$3,592","$80,360","$30,237","$99,989",$11,✅ Survived,2,0
high_tide_conservative_0,Conservative,1.0,"$80,000","$34,003","$27,171",$0,2.35,2.23,2.37,"$34,003","$3,610","$80,360","$30,388","$99,989",$11,✅ Survived,2,0
high_tide_conservative_1,Conservative,1.0,"$80,000","$36,807","$27,982",$0,2.17,2.08,2.30,"$36,807","$4,767","$80,360","$32,034","$99,986",$14,✅ Survived,3,0
high_tide_conservative_10,Conservative,1.0,"$80,000","$36,485","$27,955",$0,2.19,2.05,2.30,"$36,485","$4,483","$80,360","$31,997","$99,987",$13,✅ Survived,2,0
high_tide_conservative_12,Conservative,1.0,"$80,000","$35,970","$27,949",$0,2.22,2.16,2.30,"$35,970","$4,296","$80,360","$31,668","$99,987",$13,✅ Survived,4,0
high_tide_conservative_2,Conservative,1.0,"$80,000","$36,274","$28,125",$0,2.21,2.07,2.29,"$36,274","$4,296","$80,360","$31,971","$99,987",$13,✅ Survived,2,0
high_tide_conservative_8,Conservative,1.0,"$80,000","$35,762","$28,097",$0,2.24,2.15,2.29,"$35,762","$4,030","$80,360","$31,727","$99,988",$12,✅ Survived,3,0
high_tide_conservative_3,Conservative,1.0,"$80,000","$36,663","$28,487",$0,2.18,2.11,2.26,"$36,663","$4,379","$80,360","$32,277","$99,987",$13,✅ Survived,4,0
