deposit_cap_ratio,btc_shock_percent,agent_id,initial_health_factor,health_factor_after_shock,needs_liquidation,debt_to_liquidate,collateral_to_seize,liquidation_priority,liquidation_success_rate,total_slippage_cost,concentration_utilization
1.0,10,liquidation_agent_0,1.1,0.9900000000000001,True,2424.242424242424,0.02828282828282828,2424.242424242424,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_1,1.15,1.035,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_2,1.2,1.08,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_3,1.25,1.125,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_4,1.3,1.17,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_5,1.35,1.2149999999999999,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_6,1.4,1.2599999999999998,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_7,1.45,1.305,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_8,1.5,1.3499999999999999,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_9,1.55,1.395,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_10,1.6,1.4400000000000002,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_11,1.65,1.4849999999999999,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_12,1.7,1.5299999999999998,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_13,1.75,1.575,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,10,liquidation_agent_14,1.8,1.6199999999999999,False,0.0,0.0,0.0,1.0,8.08080808080831,0.606060606060606
1.0,15,liquidation_agent_0,1.1,0.9350000000000002,True,3636.363636363636,0.044919786096256686,3636.363636363636,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_1,1.15,0.9774999999999999,True,2582.3451910408476,0.031899558242269296,2582.3451910408476,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_2,1.2,1.02,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_3,1.25,1.0625,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_4,1.3,1.1050000000000002,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_5,1.35,1.1475,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_6,1.4,1.19,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_7,1.45,1.2325,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_8,1.5,1.2750000000000001,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_9,1.55,1.3175000000000001,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_10,1.6,1.36,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_11,1.65,1.4024999999999999,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_12,1.7,1.445,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_13,1.75,1.4875,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
1.0,15,liquidation_agent_14,1.8,1.53,False,0.0,0.0,0.0,1.0,21.948384096722293,1.554677206851121
