Agent Name,Initial Collateral,Initial Effective Collateral,Initial Debt,Initial Yield Token Value,Initial Health Factor,# of Rebalances,Final BTC Price,Final Effective Collateral,Yield Tokens Sold,Slippage Costs,Final Debt,Final Health Factor
hf_test_ht_1.01_run0_agent0,"$100,000.00","$80,000.00","$66,452.45","$66,452.45",1.204,1,"$78,346.89","$62,677.51","$10,849.13","$10,731.91","$44,754.20",1.400
hf_test_ht_1.01_run0_agent1,"$100,000.00","$80,000.00","$61,506.82","$61,506.82",1.301,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$61,506.82",1.019
hf_test_ht_1.01_run0_agent2,"$100,000.00","$80,000.00","$65,352.27","$65,352.27",1.224,1,"$78,346.89","$62,677.51","$11,486.88","$11,371.57","$42,378.51",1.479
hf_test_ht_1.01_run0_agent3,"$100,000.00","$80,000.00","$58,863.61","$58,863.61",1.359,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$58,863.61",1.065
hf_test_ht_1.01_run0_agent4,"$100,000.00","$80,000.00","$54,092.80","$54,092.80",1.479,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$54,092.80",1.159
hf_test_ht_1.01_run0_agent5,"$100,000.00","$80,000.00","$59,492.62","$59,492.62",1.345,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$59,492.62",1.054
hf_test_ht_1.01_run0_agent6,"$100,000.00","$80,000.00","$58,438.99","$58,438.99",1.369,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$58,438.99",1.073
hf_test_ht_1.01_run0_agent7,"$100,000.00","$80,000.00","$65,191.36","$65,191.36",1.227,1,"$78,346.89","$62,677.51","$11,726.28","$11,611.69","$41,738.80",1.502
hf_test_ht_1.01_run0_agent8,"$100,000.00","$80,000.00","$55,514.82","$55,514.82",1.441,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$55,514.82",1.129
hf_test_ht_1.01_run0_agent9,"$100,000.00","$80,000.00","$57,526.73","$57,526.73",1.391,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$57,526.73",1.090
hf_test_ht_1.01_run0_agent10,"$100,000.00","$80,000.00","$66,177.90","$66,177.90",1.209,1,"$78,346.89","$62,677.51","$11,056.58","$10,939.98","$44,064.73",1.422
hf_test_ht_1.01_run0_agent11,"$100,000.00","$80,000.00","$54,049.04","$54,049.04",1.480,0,"$78,346.89","$62,677.51",$0.00,$0.00,"$54,049.04",1.160
hf_test_ht_1.01_run0_agent12,"$100,000.00","$80,000.00","$63,321.61","$63,321.61",1.263,1,"$78,346.89","$62,677.51","$12,915.50","$12,804.48","$37,490.61",1.672
